student_id,first_name,last_name,gender,year_level,major_id,gpa,enrollment_date,expected_graduation_year,attendance_rate,academic_standing,scholarship_status,active_status
S00019,Cameron,Turner,Female,Junior,MAJ013,2.04,2023-09-05 00:00:00,2027,75.13,Academic Warning,Full,Active
S00020,Parker,Foster,Non-Binary,Senior,MAJ020,3.2,2022-08-03 00:00:00,2026,100.0,Good,Partial,Active
S00021,Alex,Brooks,Male,Sophomore,MAJ012,4.0,2024-09-07 00:00:00,2028,80.01,Honors,None,Active
S00022,Casey,Ward,Male,Senior,MAJ007,2.55,2022-09-27 00:00:00,2026,78.32,Good,None, Active 
S00023,Riley,Parker,Non-Binary,Junior,MAJ019,3.17,2023-08-25 00:00:00,2027,88.75,Good,Full,Active
S00024,Morgan,Parker,Female,Freshman,MAJ017,2.69,2025-10-05 00:00:00,2029,90.45,Good,None,Active
S00025,Morgan,Collins,Non-Binary,Freshman,MAJ020,3.67,2025-09-25 00:00:00,2029,83.87,Good,None,Active
S00026,Jamie,Carter,Female,Senior,MAJ009,2.74,2022-09-04 00:00:00,2026,100.0,Good,None, Graduated 
S00027,Blake,Bennett,Male,Junior,MAJ009,3.73,2023-10-07 00:00:00,2027,86.97,Honors,None,Active
S00028,Jordan,Turner,Male,Junior,MAJ010,2.92,2023-10-20 00:00:00,2027,89.17,Good,Partial,Active
S00029,Alex,Mitchell,Non-Binary,Junior,MAJ011,2.97,2023-09-22 00:00:00,2027,73.93,Good,None,Active
S00030,Reese,Bennett,Male,Sophomore,MAJ023,2.56,2024-08-14 00:00:00,2028,100.0,Good,Full,Active
S00031,Jamie,Wilson,Male,Senior,MAJ005,3.08,2022-08-24 00:00:00,2026,78.98,Good,,Active
S00032,Blake,Reed,Male,Junior,MAJ024,3.93,2023-09-14 00:00:00,2027,98.45,Honors,Partial,Active
S00033,Morgan,Price,Female,Sophomore,MAJ020,2.51,2024-09-15 00:00:00,2028,81.24,Good,None,Active
S00034,Cameron,Mitchell,Female,Junior,MAJ004,3.0,2023-09-28 00:00:00,2027,90.53,Good,None,Active
S00035,Casey, Mitchell ,Male, Sophomore ,MAJ001,2.39,2024-10-23 00:00:00,2028,72.06,Academic Warning,Full,Active
S00036,Morgan,Carter,Female,Junior,MAJ013,3.89,2023-10-14 00:00:00,2027,71.19,Honors,,Active
S00037,Sam,Turner,Male,Junior,MAJ014,2.74,2023-09-26 00:00:00,2027,68.43,Good,None,Active
S00038,Morgan,Brooks,Non-Binary,Sophomore,MAJ002,3.87,2024-10-12 00:00:00,2028,100.0,Honors,None,Active
S00039,Jamie,Reed,Male,Sophomore,MAJ012,2.25,2024-09-23 00:00:00,2028,90.53,Academic Warning,None,Active
S00040,Jamie,Parker,Male,Freshman,MAJ017,3.13,2025-08-24 00:00:00,2029,89.28,GOOD,None,Active
S00041,Morgan,Turner,Male,Freshman,MAJ006,2.21,2025-09-24 00:00:00,2029,94.38,Academic Warning,None,Active
S00042,Jordan,Price,Female,Junior,MAJ007,2.97,2023-09-08 00:00:00,2027,87.13,Good,None,Active
S00043,Taylor,Brooks,Female,Junior,MAJ014,3.62,2023-08-18 00:00:00,2027,99.81,Good,None,Graduated
S00044,Quinn,Collins,Female,Junior,MAJ001,3.49,2023-08-19 00:00:00,2027,94.81,Good,,Active
S00045,Alex,Brooks,Male,Sophomore,MAJ012,2.06,2024-08-27 00:00:00,2028,89.57,Academic Warning,None,Active
S00046,Sam,Morgan,,Junior,MAJ003,3.18,2023-08-26 00:00:00,2027,100.0,Good, None ,Active
S00047,Jordan,Reed,Male,Senior,MAJ014,2.92,2022-10-20 00:00:00,2026,75.85,Good,Partial,Active
S00048,Drew,Cooper,Male,Junior,MAJ014,3.4,2023-09-28 00:00:00,2027,72.05,Good,None,Active
S00049,Alex,Foster,Non-Binary,Junior,MAJ002,2.48,2023-08-25 00:00:00,2027,79.6,Academic Warning,None,Active
S00050,Taylor,Parker,Female,Junior,MAJ001,3.92,2023-10-03 00:00:00,2027,89.77,Honors,None,Active
S00051,Drew,Brooks,Female,Junior,MAJ021,3.5,2023-08-10 00:00:00,2027,92.88,,Partial,Active
S00052,Sam,Parker,Male,Sophomore,MAJ003,3.08,2024-10-19 00:00:00,2028,71.5,Good,Partial,Graduated
S00053,Avery,Parker,,Sophomore,MAJ021,2.86,2024-08-09 00:00:00,2028,81.95,Good,Partial,Active
S00054,Casey,Foster,Non-Binary,Freshman,MAJ008,3.77,2025-10-10 00:00:00,2029,91.02,Honors, None ,Active
S00055,Cameron,Brooks,Non-Binary,Sophomore,MAJ007,3.64,2024-10-16 00:00:00,2028,67.86,Good,None, Active 
S00056,Jamie,Mitchell,Non-Binary,Senior,MAJ008,3.54,2022-09-01 00:00:00,2026,89.83,Good,None,Graduated
S00057,Parker,Foster,Female,Senior,MAJ001,2.28,2022-10-27 00:00:00,2026,87.65,Academic Warning,None,Active
S00058,Drew,Reed,Non-Binary,Junior,MAJ014,3.28,2023-09-09 00:00:00,2027,96.85,Good,None,Active
S00059,Drew,Carter,Male,Junior,MAJ011,2.56,2023-09-14 00:00:00,2027,66.54,Good,None,Active
S00060,Riley,Bennett,Non-Binary,Senior,MAJ006,2.35,2022-09-10 00:00:00,2026,77.26,Academic Warning,Partial, Active 
S00061,Alex,Collins,Female,Junior,MAJ004,3.2,2023-09-09 00:00:00,2027,77.67,Good,None,Graduated
S00062,Avery,Price,Female,Sophomore,MAJ024,4.0,2024-10-28 00:00:00,2028,76.07,Honors,None,Active
S00063,Riley,Foster,Male,Freshman,MAJ018,3.31,2025-10-15 00:00:00,2029,92.61,Good,Partial,Active
S00064,Blake,Brooks,Male,Junior,MAJ022,2.06,2023-10-16 00:00:00,2027,86.71,Academic Warning,None,Graduated
S00065,Morgan,Turner,Female,Junior,MAJ014,3.44,2023-09-18 00:00:00,2027,91.25,Good,None,Active
S00066,Reese,Cooper,Female,Freshman,MAJ018,3.86,2025-09-04 00:00:00,2029,74.75,Honors,Partial,Active
S00067,Casey,Reed,Non-Binary,Senior,MAJ016,3.43,2022-09-14 00:00:00,2026,77.06,Good,Partial,Withdrawn
S00068,Avery,Wilson,Male,Freshman,MAJ016,3.45,2025-08-20 00:00:00,2029,93.94,Good,None,Active
S00069,Casey,Ward,Male,Senior,MAJ023,3.42,2022-09-26 00:00:00,2026,100.0,Good,None,Active
S00070,Casey,Price,Non-Binary,Sophomore,MAJ016,2.91,2024-10-22 00:00:00,2028,77.01,Good,None,Active
S00071,Riley,Mitchell,Non-Binary,Junior,MAJ011,2.37,2023-10-13 00:00:00,2027,76.14,Academic Warning,None,Active
S00072,Jamie,Parker,Non-Binary, Freshman ,MAJ017,3.21,2025-09-08 00:00:00,2029,84.82,Good,Partial,Active
S00073,Drew,Turner,Male,Sophomore,MAJ015,2.93,2024-09-22 00:00:00,2028,96.35,Good,Partial,Active
S00074,Alex,Wilson,Non-Binary,Freshman,MAJ009,1.94,2025-10-11 00:00:00,2029,85.67,Probation,Partial,Active
S00075,Avery,Cooper,Male,Sophomore,MAJ005,2.54,2024-08-24 00:00:00,2028,85.95,Good,None,Active
S00076,Jordan,Collins,Male,Senior,MAJ006,3.25,2022-09-20 00:00:00,2026,75.93,Good,Partial,Active
S00077,Reese,Hayes,Non-Binary,Senior,MAJ024,2.5,2022-09-11 00:00:00,2026,85.63,Academic Warning,Partial,Graduated
S00078,Avery,Morgan,Non-Binary,Sophomore,MAJ007,3.19,2024-08-08 00:00:00,2028,92.59,Good,Partial,Graduated
S00079,Jamie,Carter,Male,Senior,MAJ011,3.07,2022-08-25 00:00:00,2026,87.22,Good,Partial,Active
S00080,Jamie,Brooks,Female,Sophomore, MAJ005 ,2.53,2024-08-11 00:00:00,2028,79.9,Good, Partial ,Active
S00081,Taylor,Parker,Non-Binary,Sophomore,MAJ019,2.37,2024-09-19 00:00:00,2028,80.79,Academic Warning,Partial,Active
S00082,Parker,Price,Male,Freshman,MAJ018,3.57,2025-10-22 00:00:00,2029,100.0,Good,None,Graduated
S00083,Drew,Hayes,Male,Freshman, MAJ010 ,2.43,2025-09-09 00:00:00,2029,74.54,Academic Warning,Partial,Graduated
S00084,Casey,Hayes,Non-Binary,Sophomore,MAJ015,2.47,2024-08-03 00:00:00,2028,85.01,Academic Warning,None,Active
S00085,Sam,Bennett,Non-Binary,Junior,MAJ014,3.0,2023-09-15 00:00:00,2027,84.34,Good,Partial,Active
S00086,Drew,Carter,Female,Sophomore,MAJ005,1.81,2024-09-19 00:00:00,2028,73.03,Probation,None,Active
S00087,Alex,Price,Non-Binary,Junior,MAJ002,2.68,2023-09-09 00:00:00,2027,72.38,Good,None,Active
S00088,Alex,Cooper,Non-Binary,Senior,MAJ002,3.89,2022-10-16 00:00:00,2026,94.07,Honors,Partial,Graduated
S00089,Morgan,Foster,Male,Senior,MAJ011,3.0,2022-08-21 00:00:00,2026,86.17,Good,None,Active
S00090,Quinn,Hayes,Non-Binary,Junior,MAJ016,2.03,2023-08-21 00:00:00,2027,92.59,Academic Warning,None,Active
S00091,Quinn,Collins,Female,Freshman,MAJ014,3.87,2025-10-12 00:00:00,2029,93.02,Honors,Partial,Active
S00092,Jamie,Bennett,Female,Sophomore,MAJ012,3.06,2024-08-05 00:00:00,2028,89.76,Good,Partial,Active
S00093,Avery,Cooper,Male,Sophomore,MAJ009,3.15,2024-08-09 00:00:00,2028,79.0,,Full,Graduated
S00094,Casey,Turner,Male,Senior,MAJ024,4.0,2022-08-15 00:00:00,2026,86.77,Honors,Full,Active
S00095,Reese,Hayes,Non-Binary,SENIOR,MAJ009,2.82,2022-10-13 00:00:00,2026,74.52,Good,Full,Active
S00096,Quinn,Bennett,Female,Sophomore,MAJ003,3.06,2024-09-18 00:00:00,2028,91.88,Good,None,Active
S00097,Casey,Foster,Male,Junior,MAJ022,3.27,2023-10-12 00:00:00,2027,99.43,Good,None,Active
S00098,Blake,Reed,Male,Freshman,MAJ004,2.65,2025-10-08 00:00:00,2029,89.66,Good,Partial,Active
S00099,Jamie,Brooks,Non-Binary,Sophomore,MAJ018,3.27,2024-09-04 00:00:00,2028,80.66,Good,None,Graduated
S00100,Drew,Carter,Female,Sophomore,MAJ017,3.07,2024-08-18 00:00:00,2028,91.48,Good,None,Active
S00101,Jamie,Turner,Non-Binary,Junior,MAJ004,2.25,2023-09-19 00:00:00,2027,84.81,Academic Warning,Partial,Active
S00102,Jordan,Price,Male,Sophomore,MAJ001,2.53,2024-10-14 00:00:00,2028,87.51,good,Full,Active
S00103,Morgan,Collins,Male,Junior,MAJ005,2.6,2023-08-28 00:00:00,2027,96.13,Good,None,Withdrawn
S00104,Blake,Hayes,Male,Sophomore,MAJ010,,2024-08-13 00:00:00,2028,87.0,Good,None,Graduated
S00105,Reese,Collins,Female,Senior,MAJ006,3.26,2022-10-07 00:00:00,2026,84.88,Good,Partial,Active
S00106,Quinn,Mitchell,Female,Freshman,MAJ011,3.39,2025-08-26 00:00:00,2029,92.8,Good,None,Active
S00107,Morgan,Foster,Female,Junior,MAJ023,2.14,2023-08-11 00:00:00,2027,87.07,Academic Warning,,Active
S00108,Casey,Price,Female,Junior,MAJ007,2.99,2023-08-18 00:00:00,2027,81.6,Good,None,Active
S00109,Alex,Wilson,Female,Junior,MAJ004,2.41,2023-09-26 00:00:00,2027,72.79,,Partial,Active
S00110,Casey,Morgan,Female,Freshman,MAJ002,,2025-10-14 00:00:00,2029,78.83,Good,None,Active
S00111,Quinn,Mitchell,Non-Binary,Sophomore,MAJ021,3.52,2024-10-04 00:00:00,2028,86.55,Good,None,Active
S00112,Jamie,Ward,Non-Binary,Junior,MAJ007,2.69,2023-10-10 00:00:00,2027,97.27,Good,None,Graduated
S00113,Drew,Price,Male,Freshman,MAJ009,2.65,2025-09-22 00:00:00,2029,88.79, Good , None ,Active
S00114,Blake,Carter,Male,Sophomore,MAJ009,3.01,2024-10-05 00:00:00,2028,74.81,Good,None,Active
S00115,Avery,Turner,Male,Junior,MAJ020,3.04,2023-09-20 00:00:00,2027,81.62,Good,None,Active
S00116,Jordan,Ward,Non-Binary,Junior, MAJ008 ,3.7,2023-08-28 00:00:00,2027,68.75,Good,Partial,Active
S00117,Reese,Parker,Male,Junior,MAJ003,4.0,2023-09-08 00:00:00,2027,71.92,Honors,None,Active
S00118,Jamie,Carter,Male,Sophomore,MAJ024,,2024-09-11 00:00:00,2028,82.21,Good,Partial,Active
S00119,Blake,Collins,Female,Freshman,MAJ020,2.96,2025-08-27 00:00:00,2029,92.0,Good,None,Active
S00120,Riley,Ward,Female,Junior,MAJ014,2.49,2023-10-02 00:00:00,2027,100.0,Academic Warning,,Active
S00121,Jordan,Bennett,Male,Sophomore,MAJ017,2.62,2024-10-25 00:00:00,2028,90.7,Good,None,Graduated
S00122,Casey,Foster,Male, Freshman ,MAJ013,2.91,2025-09-04 00:00:00,2029,87.98,Good,None,Active
S00123,Morgan,Price,Female,Junior,MAJ010,3.02,2023-09-28 00:00:00,2027,90.09,Good,None,Active
S00124,Morgan,Ward,Male,Sophomore,MAJ018,3.05,2024-10-25 00:00:00,2028,98.18,Good,Partial,Active
S00125,Alex,Foster,Non-Binary,Junior,MAJ021,2.77,2023-10-09 00:00:00,2027,70.63,Good,none,Active
S00126,Blake,Mitchell,Male,Junior,MAJ011,2.36,2023-08-06 00:00:00,2027,86.7,Academic Warning,PARTIAL,Active
S00127,Taylor,Turner,Non-Binary,Sophomore,MAJ001,2.67,2024-08-03 00:00:00,2028,87.59,Good,Partial,Active
S00128,Riley,Wilson,Male, Sophomore ,MAJ007,2.98,2024-09-24 00:00:00,2028,76.94,Good,None,Graduated
S00129,Blake,Morgan,Female,Junior,MAJ005,3.79,2023-08-25 00:00:00,2027,92.28,Honors,Partial,Active
S00130,Sam,Bennett,Male,Sophomore,MAJ014,2.55,2024-10-15 00:00:00,2028,91.85,Good,None,Active
S00131,Riley,Bennett,Female, Junior ,MAJ013,2.32,2023-09-22 00:00:00,2027,87.86,Academic Warning,Partial,Active
S00132,Alex,Parker,Male,Junior,MAJ017,2.83,10/02/2023 00:00,2027,98.26,Good,None,Active
S00133,Taylor,Ward,Male,Freshman,MAJ016,2.79,2025-09-11 00:00:00,2029,98.99,Good,None,Active
S00134,Taylor,Bennett,Non-Binary,Sophomore,MAJ021,2.21,2024-10-08 00:00:00,2028,89.18,Academic Warning,None,Active
S00135,Jordan,Bennett,Non-Binary,Senior,MAJ015,2.88,2022-08-14 00:00:00,2026,93.23,Good,None,Graduated
S00136,Parker,Bennett,Non-Binary,Senior,MAJ012,1.98,2022-09-23 00:00:00,2026,,Probation,Partial,Active
S00137,Riley,Wilson,Non-Binary,Sophomore,MAJ017,3.83,2024-09-27 00:00:00,2028,81.47,Honors,Partial,Active
S00138,Jordan,Parker,Male,Sophomore,MAJ012,3.5,2024-10-13 00:00:00,2028,83.89,Good,None,Active
S00139,Riley,Parker,Male,Sophomore,MAJ014,3.02,2024-08-03 00:00:00,2028,97.01,Good,None,Active
S00140,Blake,Ward,Male,Junior,MAJ012,2.73,2023-09-24 00:00:00,2027,87.9,Good,Full,Active
S00141,Jordan,Wilson,Male,Freshman,MAJ005,2.19,2025-08-06 00:00:00,2029,100.0,Academic Warning,Partial,Active
S00142,Taylor,Ward,Non-Binary,Junior,MAJ014,3.12,2023-09-15 00:00:00,2027,96.46,Good,Partial,Active
S00143,Blake,Cooper,Non-Binary,Sophomore,MAJ005,3.63,2024-10-21 00:00:00,2028,91.37,Good,Full,Active
S00144,Riley,Wilson,Male,Senior,MAJ020,2.53,2022-08-16 00:00:00,2026,68.34,Good,None,Active
S00145,Alex,Mitchell,Non-Binary,Sophomore,MAJ004,2.68,2024-08-10 00:00:00,2028,87.13,Good,None,Active
S00146,Casey,Carter,Non-Binary,Sophomore,MAJ002,3.17,2024-08-20 00:00:00,2028,90.36,Good,None,Active
S00147,Quinn,Turner,Female,Junior,MAJ008,3.24,2023-09-26 00:00:00,2027,67.1,Good,None,Active
S00148,Avery,Wilson,Female,Junior,MAJ008,3.63,2023-09-04 00:00:00,2027,95.7,Good,Partial,Active
S00149,Jordan,Reed,Non-Binary,Senior,MAJ014,4.0,2022-08-02 00:00:00,2026,81.83,Honors,None,Active
S00150,Avery,Foster,Female,Sophomore,MAJ007,3.48,2024-09-12 00:00:00,2028,100.0,Good,Full,Active
S00151,Sam,Foster,Female,Senior,MAJ006,3.31,2022-10-21 00:00:00,2026,69.39,Good,None,Active
S00152,Cameron,Brooks,Male,Junior,MAJ019,2.31,2023-10-28 00:00:00,2027,74.3,Academic Warning,Partial,Graduated
S00153,Riley,Carter,Non-Binary,Senior,MAJ020,3.53,2022-10-05 00:00:00,2026,81.05,Good,Full,Active
S00154, Sam ,Bennett,Female,Junior,MAJ006,,2023-10-23 00:00:00,2027,100.0,Good,Full,Active
S00155,Quinn,Mitchell,,Sophomore,MAJ013,3.25,2024-10-23 00:00:00,2028,85.27,Good,Partial,Active
S00156,Avery,Carter,Non-Binary,Junior,MAJ001,3.66,10/14/2023 00:00,2027,87.75,Good,None,Active
S00157,Morgan,Mitchell,Male,Sophomore,MAJ016,2.53,2024-08-08 00:00:00,2028,78.95,Good,Full,Active
S00158,Quinn,Carter,Non-Binary,Sophomore,MAJ003,2.94,2024-10-27 00:00:00,2028,100.0,Good,Partial,Active
S00159,Blake,Ward,Non-Binary,Junior,MAJ002,2.24,2023-08-20 00:00:00,2027,83.29,Academic Warning,None,Active
S00160,Quinn,Foster,Female,Senior,MAJ004,2.72,2022-10-15 00:00:00,2026,84.5,Good,None,Active
S00161,Drew,Foster,Male,Junior,MAJ006,3.22,2023-10-26 00:00:00,2027,90.8,Good,None,Active
S00162,Quinn,Ward,Male,SOPHOMORE,MAJ016,2.33,2024-08-12 00:00:00,2028,84.04,Academic Warning,Partial,Active
S00163,Quinn,Brooks,Male,Sophomore,MAJ007,2.56,2024-10-17 00:00:00,2028,100.0,Good,None,Active
S00164,Parker,Wilson,Male,Freshman,MAJ015,3.23,2025-08-21 00:00:00,2029,79.41,Good,None,Active
S00165,Jamie,Price,Non-Binary,Senior,MAJ008,2.99,2022-08-10 00:00:00,2026,86.84,Good,None,Active
S00166,Avery,Wilson,Male,Sophomore,MAJ023,2.75,2024-08-08 00:00:00,2028,82.22,,Partial, Graduated 
S00167,Cameron,Morgan,Male,Senior,MAJ004,3.2,2022-10-12 00:00:00,2026,83.38,Good,None,Withdrawn
S00168,Alex,Mitchell,Female,Sophomore,MAJ009,4.0,2024-10-21 00:00:00,2028,73.12,Honors,None,Active
S00169,Blake,Price,Male,Freshman,MAJ008,2.72,2025-10-27 00:00:00,2029,69.28,Good,None,Active
S00170,Alex,Cooper,Female,sophomore,MAJ009,3.23,2024-08-09 00:00:00,2028,83.7,Good,None,Active
S00171,Parker,Reed,Male,Senior,MAJ004,3.43,2022-08-25 00:00:00,2026,84.08,Good,None,Active
S00172,Cameron, Hayes ,Non-Binary,Freshman,MAJ022,3.59,2025-09-03 00:00:00,2029,91.25,Good,None,Graduated
S00173,Alex,Hayes,Non-Binary,Junior,MAJ006,3.28,2023-10-08 00:00:00,2027,69.17,Good,Partial,Active
S00174,Riley,Parker,Non-Binary,Freshman,MAJ005,3.31,2025-09-06 00:00:00,2029,82.78,Good,Partial,Active
S00175,Jordan,Reed,Non-Binary,Senior,MAJ020,3.86,2022-10-26 00:00:00,2026,89.7,Honors,Full,Active
S00176,Drew,Morgan,Non-Binary,Sophomore,MAJ006,2.57,2024-09-12 00:00:00,2028,75.0,Good,None,Active
S00177,Riley,Parker,Non-Binary,Senior,MAJ009,2.54,2022-10-21 00:00:00,2026,83.8,Good,None,Active
S00178,Taylor,Morgan,Male, Junior ,MAJ016,3.2,2023-10-11 00:00:00,2027,89.26,Good, Partial ,Active
S00179,Drew,Turner,Male,Senior,MAJ017,3.51,2022-10-06 00:00:00,2026,100.0,Good,Partial,Active
S00180,Drew,Morgan,Male,Senior,MAJ012,2.55,2022-08-02 00:00:00,2026,79.91,Good,Partial,Graduated
S00181,Casey,Reed,Male,Sophomore,MAJ017,2.53,2024-10-16 00:00:00,2028,82.9,Good,None,Active
S00182,Riley,Price,Female,Freshman,MAJ003,3.09,2025-10-11 00:00:00,2029,83.27,Good,None,Active
S00183,Cameron,Turner,Male,Sophomore,MAJ019,2.96,2024-09-11 00:00:00,2028,92.95,Good,Full,Active
S00184,Blake,Ward,Non-Binary,Sophomore,MAJ010,3.67,2024-09-26 00:00:00,2028,98.93,Good,None,Active
S00185,Reese,Wilson,Non-Binary,Sophomore,MAJ008,2.35,2024-09-11 00:00:00,2028,94.3,Academic Warning,None,Active
S00186,Drew,Foster,Non-Binary,Sophomore,MAJ019,2.82,2024-09-06 00:00:00,2028,64.33,Good,Partial,Active
S00187,Reese,Cooper,Male,Freshman,MAJ008,2.57,2025-10-14 00:00:00,2029,88.94,Good,None,Withdrawn
S00188,Jordan,Hayes,,Senior,MAJ018,3.2,2022-09-12 00:00:00,2026,72.47,Good,None,Active
S00189,Alex,Wilson,Non-Binary,Freshman,MAJ014,,2025-10-26 00:00:00,2029,87.22,Academic Warning,None,Active
S00190,Sam,Mitchell,Male,Freshman,MAJ018,3.79,2025-09-19 00:00:00,2029,80.79,Honors,None,Active
S00191,Riley,Mitchell,Male,Sophomore,MAJ008,3.21,2024-08-19 00:00:00,2028,,Good,None,Active
S00192,Casey,Parker,Female,Sophomore,MAJ016,3.3,2024-08-24 00:00:00,2028,77.65,Good,None,Active
S00193,Jordan,Brooks,Male,Senior,MAJ005,2.23,2022-10-15 00:00:00,2026,78.77,Academic Warning,None,Active
S00194,Drew,Parker,Female,Junior,MAJ013,3.85,2023-08-28 00:00:00,2027,71.79,Honors,None,Active
S00195,Jordan,Ward,Non-Binary,Junior,MAJ014,4.0,2023-09-22 00:00:00,2027,78.51,Honors,None,Active
S00196,Blake,Brooks,Female,Junior,MAJ008,3.71,2023-10-23 00:00:00,2027,87.92,Honors,Full,Active
S00197,Avery,Parker,Female,Senior,MAJ004,3.27,2022-08-26 00:00:00,2026,80.28,Good,None,Active
S00198,Avery,Foster,Male,Freshman,MAJ019,2.78,2025-09-26 00:00:00,2029,83.1,Good,Full,Active
S00199,Jordan,Brooks,Male,Senior,MAJ018,2.2,2022-10-24 00:00:00,2026,87.08,Academic Warning,None,Active
S00200,Parker,Carter,Female,Sophomore,MAJ021,3.11,2024-09-21 00:00:00,2028,90.57,Good,None,Active
S00201,Taylor,Cooper,Non-Binary,Junior,MAJ001,2.79,2023-10-19 00:00:00,2027,91.36,Good,None,Graduated
S00202,Blake,Price,Female,Sophomore,MAJ015,2.55,2024-08-17 00:00:00,2028,100.0,Good,None,Active
S00203,Jamie,Parker,Male,Sophomore,MAJ010,2.32,2024-10-10 00:00:00,2028,89.05,Academic Warning,Partial,Active
S00204,Avery,Brooks,Female,Junior,MAJ017,3.99,2023-10-10 00:00:00,2027,72.73,Honors,Partial,Active
S00205,Parker,Foster,Female,Junior,MAJ017,3.35,2023-08-22 00:00:00,2027,63.4,Good,Partial,Graduated
S00206,Blake,Foster,Female,Sophomore,MAJ005,3.32,2024-08-03 00:00:00,2028,69.49,Good,None,Active
S00207,Sam,Parker,Non-Binary,Junior,MAJ003,4.0,2023-09-20 00:00:00,2027,72.69,Honors,Partial,Active
S00208,Casey,Hayes,Male,Junior,MAJ011,3.41,2023-09-08 00:00:00,2027,83.81,Good,Partial,Active
S00209,Jordan,Turner,Female,Sophomore,MAJ015,3.77,2024-08-15 00:00:00,2028,93.3,,None,Active
S00210,Taylor,Mitchell,Non-Binary,Sophomore,MAJ019,3.13,24/09/2024 00:00,2028,86.99,Good,Full,Active
S00211,Quinn,Mitchell,Non-Binary,Sophomore,MAJ009,4.0,2024-10-04 00:00:00,2028,86.08,Honors,None,Active
S00212,Morgan,Wilson,Female,Sophomore,MAJ023,2.94,2024-08-10 00:00:00,2028,100.0,Good,Full,Active
S00213,Reese,Cooper,Female,Sophomore,MAJ013,2.54,2024-09-19 00:00:00,2028,98.66,Good,Partial,Active
S00214,Avery,Collins,Male,Freshman,MAJ024,2.38,2025-09-16 00:00:00,2029,86.97,Academic Warning,None,Graduated
S00215,Morgan,Parker,Non-Binary,Junior,MAJ023,2.19,2023-09-02 00:00:00,2027,83.43,Academic Warning,None,Active
S00216,Sam,Hayes,Male,Senior,MAJ013,2.68,2022-09-18 00:00:00,2026,90.69,,None,Active
S00217,Casey,Turner,Male,freshman,MAJ010,3.46,2025-09-12 00:00:00,2029,73.17,Good,None,Active
S00218,Riley,Reed,Male,Junior,MAJ014,3.52,2023-08-13 00:00:00,2027,79.61,Good,None,Active
S00219,Parker,Hayes,Non-Binary,Sophomore,MAJ007,3.17,2024-08-05 00:00:00,2028,74.07,Good,Full,Active
S00220,Riley,Reed,,Senior,MAJ013,3.0,2022-08-07 00:00:00,2026,74.38,Good,Partial,Active
S00221,Alex,Wilson,Non-Binary,Freshman,MAJ014,4.0,2025-09-26 00:00:00,2029,74.63,Honors,None,Active
S00222,Avery,Wilson,Male,Junior,MAJ007,2.98,2023-10-11 00:00:00,2027,89.71,Good,None,Withdrawn
S00223,Casey,Foster,Male,Junior,MAJ017,,2023-10-27 00:00:00,2027,92.14,Honors,None,Active
S00224,Drew,Price,Female,Junior,MAJ021,3.72,2023-09-11 00:00:00,2027,76.04,Honors,Partial,Graduated
S00225,Quinn,Cooper,Non-Binary,Junior,MAJ019,3.3,2023-10-21 00:00:00,2027,84.08,Good,None,Active
