instructor_id,instructor_name,department_id,academic_rank,years_experience,teaching_load,ai_policy_adoption
INS0083,Morgan Hayes,DEP03,Lecturer,16.0,8,High
INS0084,Blake Price,DEP02,Professor,1.0,2,High
INS0085,Blake Cooper,DEP08,Assistant Professor,5.0,3,High
INS0086,Quinn Wilson,DEP09,Professor,6.0,2,Not Recorded
INS0087,Blake Mitchell,DEP08,Professor,15.0,3,Medium
INS0088,Quinn Turner,DEP10,Lecturer,6.0,6,High
INS0089,Reese Collins,DEP07,Assistant Professor,15.0,9,High
INS0090,Drew Mitchell,DEP07,Associate Professor,12.0,2,Medium
INS0091,Sam Parker,DEP08,Professor,20.0,2,Medium
INS0092,Jordan Ward,DEP06,Associate Professor,15.0,3,Medium
INS0093,Cameron Hayes,DEP10,Associate Professor,1.0,3,Low
INS0094,Casey Wilson,DEP01,Associate Professor,13.0,1,Low
INS0095,Cameron Mitchell,DEP04,Associate Professor,14.0,4,Medium
INS0096,Avery Carter,DEP05,Professor,10.0,8,Low
INS0097,Alex Turner,DEP01,Professor,1.0,7,Medium
INS0098,Quinn Reed,DEP02,Assistant Professor,10.0,1,Medium
INS0099,Sam Cooper,DEP03,Associate Professor,6.0,2,Medium
INS0100,Reese Carter,DEP04,Associate Professor,11.0,4,Medium
